system:time_start,LST_Day_1km
"Jan 1, 2010",19.086
"Jan 2, 2010",18.215
"Jan 3, 2010",21.03
"Jan 4, 2010",20.05
"Jan 5, 2010",20.859
"Jan 6, 2010",18.874
"Jan 7, 2010",19.555
"Jan 8, 2010",18.679
"Jan 9, 2010",17.644
"Jan 10, 2010",18.451
"Jan 11, 2010",21.086
"Jan 12, 2010",20.187
"Jan 13, 2010",23.108
"Jan 14, 2010",18.449
"Jan 15, 2010",17.809
"Jan 16, 2010",20.53
"Jan 17, 2010",20.616
"Jan 18, 2010",22.767
"Jan 19, 2010",21.141
"Jan 20, 2010",25.934
"Jan 21, 2010",23.017
"Jan 22, 2010",26.643
"Jan 23, 2010",23.679
"Jan 24, 2010",21.638
"Jan 25, 2010",23.435
"Jan 26, 2010",22.676
"Jan 27, 2010",25.566
"Jan 28, 2010",22.92
"Jan 29, 2010",26.08
"Jan 30, 2010",23.969
"Jan 31, 2010",24.833
"Feb 1, 2010",23.871
"Feb 2, 2010",22.805
"Feb 3, 2010",21.458
"Feb 4, 2010",22.481
"Feb 5, 2010",24.463
"Feb 6, 2010",26.655
"Feb 7, 2010",28.311
"Feb 8, 2010",26.662
"Feb 9, 2010",24.528
"Feb 10, 2010",20.087
"Feb 11, 2010",22.116
"Feb 12, 2010",28.191
"Feb 13, 2010",26.357
"Feb 14, 2010",26.329
"Feb 15, 2010",28.579
"Feb 16, 2010",22.485
"Feb 17, 2010",23.349
"Feb 18, 2010",24.93
"Feb 19, 2010",23.03
"Feb 20, 2010",27.434
"Feb 21, 2010",25.285
"Feb 22, 2010",27.085
"Feb 23, 2010",29.373
"Feb 24, 2010",28.83
"Feb 25, 2010",26.879
"Feb 26, 2010",30.511
"Feb 27, 2010",30.397
"Feb 28, 2010",33.778
"Mar 1, 2010",34.756
"Mar 2, 2010",31.689
"Mar 3, 2010",32.187
"Mar 4, 2010",32.393
"Mar 5, 2010",30.799
"Mar 6, 2010",37.49
"Mar 7, 2010",31.518
"Mar 8, 2010",31.522
"Mar 9, 2010",31.944
"Mar 10, 2010",35.668
"Mar 11, 2010",30.107
"Mar 12, 2010",32.464
"Mar 13, 2010",30.897
"Mar 14, 2010",33.948
"Mar 15, 2010",33.692
"Mar 16, 2010",34.277
"Mar 17, 2010",34.433
"Mar 18, 2010",33.7
"Mar 19, 2010",35.918
"Mar 20, 2010",35.475
"Mar 21, 2010",37.21
"Mar 22, 2010",35.037
"Mar 23, 2010",35.783
"Mar 24, 2010",36.185
"Mar 25, 2010",35.542
"Mar 26, 2010",35.578
"Mar 27, 2010",35.385
"Mar 28, 2010",36.789
"Mar 29, 2010",34.006
"Mar 30, 2010",37.77
"Mar 31, 2010",34.352
"Apr 1, 2010",37.904
"Apr 2, 2010",36.944
"Apr 3, 2010",36.887
"Apr 4, 2010",37.499
"Apr 5, 2010",36.578
"Apr 6, 2010",38.983
"Apr 7, 2010",33.737
"Apr 8, 2010",35.807
"Apr 9, 2010",34.698
"Apr 10, 2010",39.273
"Apr 11, 2010",40.566
"Apr 12, 2010",41.805
"Apr 13, 2010",37.175
"Apr 14, 2010",37.47
"Apr 15, 2010",39.263
"Apr 16, 2010",39.302
"Apr 17, 2010",40.674
"Apr 18, 2010",41.25
"Apr 19, 2010",42.361
"Apr 20, 2010",38.537
"Apr 21, 2010",40.889
"Apr 22, 2010",39.249
"Apr 23, 2010",38.843
"Apr 24, 2010",41.897
"Apr 25, 2010",39.641
"Apr 26, 2010",39.526
"Apr 27, 2010",38.233
"Apr 28, 2010",37.412
"Apr 29, 2010",39.012
"Apr 30, 2010",36.49
"May 1, 2010",35.972
"May 2, 2010",38.092
"May 3, 2010",37.368
"May 4, 2010",37.743
"May 5, 2010",35.502
"May 6, 2010",35.525
"May 7, 2010",36.961
"May 8, 2010",35.927
"May 9, 2010",36.233
"May 10, 2010",39.795
"May 11, 2010",39.438
"May 12, 2010",40.821
"May 13, 2010",40.604
"May 14, 2010",39.997
"May 15, 2010",38.347
"May 16, 2010",37.219
"May 17, 2010",40.836
"May 18, 2010",45.31
"May 19, 2010",37.532
"May 20, 2010",37.896
"May 21, 2010",38.278
"May 22, 2010",37.688
"May 23, 2010",39.423
"May 24, 2010",37.099
"May 25, 2010",37.717
"May 26, 2010",34.447
"May 27, 2010",36.359
"May 28, 2010",39.731
"May 29, 2010",37.177
"May 30, 2010",37.71
"May 31, 2010",39.297
"Jun 1, 2010",36.899
"Jun 2, 2010",37.761
"Jun 3, 2010",37.557
"Jun 4, 2010",35.902
"Jun 5, 2010",31.852
"Jun 6, 2010",34.64
"Jun 7, 2010",36.479
"Jun 8, 2010",36.092
"Jun 9, 2010",35.946
"Jun 10, 2010",36.296
"Jun 11, 2010",36.554
"Jun 12, 2010",36.675
"Jun 13, 2010",37.176
"Jun 14, 2010",32.619
"Jun 15, 2010",29.05
"Jun 16, 2010",30.411
"Jun 17, 2010",30.061
"Jun 18, 2010",29.171
"Jun 19, 2010",34.198
"Jun 20, 2010",28.567
"Jun 21, 2010",33.386
"Jun 22, 2010",28.106
"Jun 23, 2010",30.068
"Jun 24, 2010",22.042
"Jun 25, 2010",33.754
"Jun 26, 2010",
"Jun 27, 2010",28.564
"Jun 28, 2010",33.174
"Jun 29, 2010",30.649
"Jun 30, 2010",30.821
"Jul 1, 2010",29.764
"Jul 2, 2010",28.491
"Jul 3, 2010",27.653
"Jul 4, 2010",28.683
"Jul 5, 2010",30.515
"Jul 6, 2010",28.217
"Jul 7, 2010",28.628
"Jul 8, 2010",25.814
"Jul 9, 2010",28.034
"Jul 10, 2010",25.964
"Jul 11, 2010",28.281
"Jul 12, 2010",27.724
"Jul 13, 2010",20.024
"Jul 14, 2010",27.629
"Jul 15, 2010",26.348
"Jul 16, 2010",26.093
"Jul 17, 2010",34.07
"Jul 18, 2010",28.977
"Jul 19, 2010",29.658
"Jul 20, 2010",29.482
"Jul 21, 2010",23.478
"Jul 22, 2010",22.026
"Jul 23, 2010",23.697
"Jul 24, 2010",22.972
"Jul 25, 2010",27.424
"Jul 26, 2010",27.357
"Jul 27, 2010",30.179
"Jul 28, 2010",26.699
"Jul 29, 2010",19.401
"Jul 30, 2010",20.565
"Jul 31, 2010",25.502
"Aug 1, 2010",22.148
"Aug 2, 2010",24.282
"Aug 3, 2010",22.272
"Aug 4, 2010",22.052
"Aug 5, 2010",29.775
"Aug 6, 2010",20.011
"Aug 7, 2010",23.248
"Aug 8, 2010",24.824
"Aug 9, 2010",25.661
"Aug 10, 2010",26.264
"Aug 11, 2010",23.652
"Aug 12, 2010",23.189
"Aug 13, 2010",20.202
"Aug 14, 2010",21.877
"Aug 15, 2010",22.938
"Aug 16, 2010",14.599
"Aug 17, 2010",23.404
"Aug 18, 2010",24.062
"Aug 19, 2010",27.485
"Aug 20, 2010",27.565
"Aug 21, 2010",23.683
"Aug 22, 2010",28.132
"Aug 23, 2010",24.185
"Aug 24, 2010",25.133
"Aug 25, 2010",22.569
"Aug 26, 2010",14.86
"Aug 27, 2010",22.616
"Aug 28, 2010",28.365
"Aug 29, 2010",24.043
"Aug 30, 2010",26.334
"Aug 31, 2010",24.187
"Sep 1, 2010",25.247
"Sep 2, 2010",24.717
"Sep 3, 2010",23.379
"Sep 4, 2010",29.588
"Sep 5, 2010",23.803
"Sep 6, 2010",25.082
"Sep 7, 2010",21.866
"Sep 8, 2010",26.277
"Sep 9, 2010",22.541
"Sep 10, 2010",26.669
"Sep 11, 2010",24.194
"Sep 12, 2010",25.732
"Sep 13, 2010",25.213
"Sep 14, 2010",21.211
"Sep 15, 2010",21.57
"Sep 16, 2010",23.597
"Sep 17, 2010",21.438
